Kenpom.com,Team,Mascot,Conference,Team First season (Div I)
Weber St.,Weber State,Wildcats,Big Sky Conference,2006–07
West Virginia,West Virginia,Mountaineers,Big 12 Conference,2007–08
Western Carolina,Western Carolina,Catamounts,Southern Conference,2005–06
Western Illinois,Western Illinois,Leathernecks,Summit League,2014–15
Western Kentucky,Western Kentucky,Hilltoppers,Conference USA,2016–17
Western Michigan,Western Michigan,Broncos,Mid-American Conference,2003–04
Wichita St.,Wichita State,Shockers,Missouri Valley Conference,2007–08
William & Mary,William & Mary,Tribe,Colonial Athletic Association,2003–04
Winthrop,Winthrop,Eagles,Big South Conference,2012–13
Wisconsin,Wisconsin,Badgers,Big Ten Conference,2015–16
Wofford,Wofford,Terriers,Southern Conference,2002–03
Wright St.,Wright State,Raiders,Horizon League,2016–17
Wyoming,Wyoming,Cowboys,Mountain West Conference,2016–17
Xavier,Xavier,Musketeers,Big East Conference,2009–10
Yale,Yale,Bulldogs,Ivy League,1999–2000
Youngstown St.,Youngstown State,Penguins,Horizon League,2005–06
